DISEASES_spacy,DRUGS_spacy,DISEASES_BERT,DRUGS_BERT
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
pulmonary edema,glucose,,
,creat na,,
,calcium,,
,folate,,
pulmonary edema,,,
pleural effusions,,,
opacities,,,
pulmonary edema,,,
infection,,,
infection,,,
dvt,,,
lower extremity renal us impression no evidence of,,,
hydronephrosis,,,
right hip infection diastolic dysfunction,,,
type diabetes mellitus,,,
shortness of breath shortness of breath,,,
shortness of breath,,,
congestive heart failure,,,
pneumonia,,,
chest pain,,,
pulmonary embolism,,,
renal failure,,,
,heparin,,
,heparin,,
,vanco,,
,lasix,,
,lasix,,
chest pain,,,
chest pain,,,
pain,,,
pneumonia,,,
esophageal irritation,,,
odynophagia,,,
pericarditis,,,
costochondritis,,,
pain,,,
acute coronary syndrome,,,
pain,dilaudid,,
odynophagia,vanco,,
fever,bactrim,,
leukocytosis,,,
pneumonia,,,
acute renal failure,vanco,,
acute renal failure,nephrotoxins,,
dehydration,aspirin,,
diuresis coronary artery disease,statin,,
renal failure,trops,,
anemia,iron,,
anemia,levothyroxine,,
chronic disease retic count elevated,,,
hypothyroidism,,,
,levothyroxine,,
,lidocaine,,
,omeprazole,,
,simvastatin,,
,trimethoprim sulfamethoxazole,,
,tylenol,,
,aspirin,,
,calcium carbonate,,
,cholecalciferol vitamin d,,
,vitamin b,,
,estrogens,,
,ferrous sulfate,,
,iron,,
,gabapentin,,
,heparin,,
pneumonia,,,
chronic renal failure,,,
anemia,,,
copd cad htn,,,
pneumonia,atenolol,,
,tylenol,,
,fentanyl,,
,tylenol,,
,loxacin,,
,glucose,,
,creat na,,
,lactate,,
,glucose,,
,creat na,,
,calcium,,
,vanco,,
,lactate,,
pneumonia,,,
pleural effusions,,,
pulmonary edema,,,
pulmonary artery hypertension,,,
mitral regurgitation,,,
copd,,,
loculated effusion,,,
effusion,,,
pleural calcifications,,,
pleural effusions,,,
pneumothorax,,,
copd dmii cad,oxacillin,,
htn,staphylococci,,
respiratory failure,penicillins cephalosporins carbacephems carbapenems,,
,rifampin,,
,clindamycin,,
,erythromycin,,
,gentamicin,,
,levofloxacin,,
,oxacillin,,
,rifampin,,
,tetracycline,,
,trimethoprim sulfa,,
,vancomycin,,
pneumonia,levofloxacin,,
copd,vanco,,
pneumonia,,,
febrile,,,
respiratory fatigue tachypnea,,,
shortness of breath,,,
pain,oxycodone,,
opacities,,,
respiratory status fever,,,
htn,metformin,,
pulmonary htn,glipizide,,
,diltiazem,,
,lisinopril,,
,amlodipine,,
,furosemide,,
,lasix,,
glaucoma,furosemide,,
glaucoma,,,
cataracts,,,
anemia,,,
bleeding,,,
,metformin,,
,timolol,,
,erythromycin,,
,glipizide,,
,gtts,,
,famciclovir,,
,omeprazole,,
,citalopram,,
,diltiazem,,
,fluticasone,,
,furosemide,,
,spiriva,,
,calcium,,
constipation milk of mag mls daily prn,guaifenesin,,
nausea fleet enema,trazadone,,
pneumonia,tylenol,,
,compazine,,
,albuterol,,
htn,coumadin,,
dyspnea,,,
dizziness,,,
chest pain,,,
palpitations,,,
convulsive,,,
totbili am blood calcium,lmwh,,
,glucose,,
,creat na,,
,iron,,
,folate,,
pulmonary edema,lasix,,
depression,ceftriaxone,,
,nitro gtt,,
,hydralazine,,
,nitro,,
,lasix,,
pneumonia,lasix,,
,ceftriaxone,,
,azithromycin,,
orthopnea,ceftriaxone,,
cough,azithromycin,,
ischemia,levaquin,,
depressions,,,
tte,,,
decreased myocardial demand,,,
anemia,coumadin,,
,coumadin,,
,coumadin,,
,iron,,
,ferrous,,
hypertension,iron,,
pulmonary arterial hypertension,,,
crohns disease,lasix,,
,neurontin,,
,qhs lisinopril,,
,protonix,,
,timolol,,
,fluoxetine,,
,atenolol,,
,remicade,,
microperforation,cipro flagyl prednisone flagyl,,
epigastric pain,,,
pain,,,
pain,,,
emesis,,,
abdominal pain,,,
dry mouth,dilaudid,,
dizziness,morphine,,
tachy,zofran,,
bandemia,tylenol,,
peritonitis,cipro,,
abscess,,,
pain,,,
abdominal bloating,,,
chills,,,
sweats,,,
weight loss,,,
headache,,,
sinus tenderness rhinorrhea,,,
congestion,,,
cough shortness of breath,,,
tightness palpitations,,,
nausea vomiting diarrhea constipation,,,
abdominal pain,,,
abdominal pain,nitiate,,
dysuria,,,
abscess,,,
crohns,,,
abscess,,,
crohns,,,
abscess,,,
worsening bowel wall thickening,,,
abscess,,,
atelectasis,,,
pleural effusion,,,
left effusion atelectasis,,,
abcess,,,
abscess c,,,
lactobacillus abscess,,,
albicans s viridans lactobacillus abscess,,,
crohns,steroid,,
intravascular depletion abdominal pain,,,
crohns,,,
ulcer,,,
abdominal pain,hydrcortisone,,
tachycardia,hydrocortisone,,
intravascular depletion crohns flare abdominal pain,morphine,,
pain,morphine,,
febrile,,,
pain,,,
fever,morphine,,
infection,dilaudid,,
abx infectious disease,,,
pain,dilaudid,,
pain,dilaudid,,
pain,,,
tachycardia,ciprofloxacin,,
,prednisone,,
,folate,,
,vit,,
left ventricular systolic dysfunction,creatinine,,
diabetes mellitus chronic renal insufficiency,,,
hypertension,,,
renal failure,,,
metabolic acidosis,,,
cough,,,
chest pain shortness of breath,,,
orthopnea palpitations,,,
urinary tract infection,,,
infection,,,
uremic complaints,lisinopril,,
dysuria,lasix,,
,glucose urea,,
,creat sodium potassium chloride,,
hydronephrosis,nitrite,,
cardiomegaly,glucose,,
haziness,ketone,,
,bilirubin,,
congestive heart failure,,,
pleural effusions,,,
congestive heart failure,,,
retrocardiac opacity,,,
collapse consolidation small,,,
pleural effusions,,,
intracranial hemorrhage,,,
edema,,,
infarction,,,
osteomyelitis,,,
lymphadenopathy,glucose,,
abscess,creat na,,
ascites,,,
pancreatitis,,,
pleural effusions,,,
vascular calcifications,,,
fracture,,,
dislocation,,,
left ventriuclar systolic dysfunction,creatinine,,
diabetes mellitus hypertension anemia,creatinine,,
tach chronic renal insufficiency,lisinopril,,
worsening renal failure metabolic acidosis,lasix,,
fevers,,,
pneumonia,,,
renal failure,,,
time renal failure,lasix,,
prerenal azotemia,,,
prostatic hypertrophy,,,
hypotension,,,
funguria,creatinine,,
metabolic acidosis,creatinine,,
funguria,galabrate,,
fever,fluconazole,,
delirium,amphotericin bladder,,
infection,fluconazole,,
albicans,,,
infectious disease,,,
heart failure,hydralazine,,
renal failure,metoprolol hydralazine,,
heart failure,lasix,,
swan ganz,metoprolol,,
hypotensive,,,
shortness of breath,azine,,
fevers,lasix,,
,metoprolol hydralazine,,
,statin,,
pneumonia,levofloxacin,,
pneumonia,flagyl,,
infection,,,
osteomyelitis,,,
ulcer,,,
osteomyelitis,,,
dvt,,,
anemia,coumadin,,
anemia,vit k,,
adenomatous polyps,coumadin,,
,qhs,,
diabetes mellitus,epogen,,
dispo,lantus,,
,lantus,,
,lantus,,
,plavix,,
,aspirin,,
,glargine qhs zinc vit,,
,vit,,
,vit,,
,calcitriol,,
primary renal failure conjestive heart failure,zocor,,
venous thrombosis funguria,tamsulosin,,
diabetes mellitus anemia,"34982, 2851, 5789, 2760, 2639, 1122, 3572, 58381",,
stroke,,,
coronary artery disease,,,
respiratory failure,,,
alcohol abuse,,,
seizures,,,
htn,,,
confusion,,,
left brow pain,,,
tooth,,,
sore,,,
intracranial abnormality,,,
confusion,lactate,,
,ammonia,,
,ethanol,,
,acetominophen,,
,nitrite,,
,ents,,
,fentanyl,,
,midazolam,,
,azithromycin,,
,ceftriaxone,,
,creat,,
,glucose,,
,creat na,,
,calcium,,
,ethanol,,
,acetmnp,,
opacification,,,
pleural effusion,,,
atelectasis,,,
pneumonia,,,
effusions or pleural thickening,,,
pneumonia,,,
alcohol abuse,,,
seizures,,,
respiratory failure,oxygen,,
confusional,,,
toxic metabolic encephalopathy,,,
toxic metabolic encephalopathy,,,
tatus,alcohol,,
alcohol abuse,ammonia,,
seizures,lactic acid,,
seizure,alcohol,,
metabolic hepatic encephalopathy,,,
sepsis,,,
encephalopathy,,,
insomnia,diazepam,,
headache,thiamine,,
cough,tylenol,,
cough,ibuprofen,,
leukocytosis,oxygen,,
pneumonia,smoke,,
copd,,,
muscle pain gabapentin,amitriptyline fluoxetine furosemide,,
,gabapentin topiramate,,
,methocarbamol,,
,risedronate,,
,amitriptyline,,
,potassium chloride,,
,furosemide,,
,methocarbamol,,
,fluoxetine,,
,topiramate topamax,,
,topiramate,,
toxic metabolic encephalopathy,topamax,,
acute respiratory failure,smoke,,
coma,,,
seizures,,,
alcoholism,,,
hypertension hyperlipidemia,,,
cough,,,
fractures,,,
30390,,,
obesity,,,
htn,,,
hyperlipidemia,,,
acute leukemia,,,
pain,prednisone,,
achy bony pain,,,
trauma,,,
swelling,,,
pain,,,
thrombocytopenia,,,
chest pain,,,
fever chills,,,
diarrhea,allopurinol,,
acute leukemia,,,
consolidations,,,
infectious disease,,,
iral illness,levaquin,,
pain,toradol,,
pain,,,
,calcium phosphate magnesium uric acid iron,,
,glucose urea,,
,creat sodium potassium chloride,,
acute monocytic leukemia fa,glucose,,
,creat na,,
,calcium,,
carcinoma,,,
hhv hhv,,,
clostridium difficile,,,
clostridium difficile,,,
clostridium difficile,,,
pneumocystis jirovecii carinii,potassium hydroxide,,
aortic stenosis,,,
aortic regurgitation,,,
mitral regurgitation,,,
mitral valve prolapse,,,
pericardial effusion,,,
hypertension,,,
valvular disease,,,
depressed,,,
abnormal paradoxical septal motion position the aortic valve,,,
mitral regurgitation,,,
mitral valve prolapse tricuspid regurgitation,,,
pericardial effusion,,,
impaired fillling tamponade,,,
pericardial effusion,,,
cardiac tamponade,,,
effusion,,,
cardiac tamponade,,,
abnormal septal motion position,,,
pericardial effusion,,,
tamponade,,,
effusion,,,
effusive constrictive,,,
obesity,,,
acute monocytic leukemia,,,
pericardial tamponade,,,
febrile neutropenia,,,
leukemia,,,
acute monocytic leukemia,,,
pericardial tamponade,daunorubicin,,
fevers,cytarabine,,
infection,,,
hypoxia,,,
pulmonary opacities pericardial effusion,,,
effusion,,,
effusion,,,
tamponade,tte,,
pericardiocentesis,,,
tamponade,,,
constrictive pericarditis,,,
constrictive pericarditis,,,
effusion,,,
hypertrophy,,,
pericardial tamponade,,,
constrictive pericarditis,,,
ictive pericarditis,vancomycin,,
effusion,vancomycin,,
malignancy,cefepime,,
febrile neutropenia,,,
fever,,,
rash,,,
fever,,,
malignancy,micafungin,,
,vancomycin cefepime voriconazole,,
,metronidazole,,
pleural effusions,voriconazole meropenem,,
fevers,vancomycin,,
,metronidazole,,
fevers,vancomycin,,
thrombotic,provera,,
htn,statin,,
hyperlipidemia,atorvastatin,,
acute monocytic leukemia constrictive pericarditis febrile neutropenia,pcp hydrochlorothiazide,,
seizure disorder,pcp multivitamin,,
,vitamin d,,
,4233,,
,dm,,
nocturia,,,
bleeding,,,
chills sweats,glucose,,
dysuria,dextrose,,
cough no bowel symptoms,,,
pleural effusion,nitrite,,
pneumothorax,glucose ketone bilirubin,,
,lactate,,
enlargement pulmonary vasculature,,,
seizure,,,
anemia,,,
fatigue,,,
diabetic diet,insulin,,
,metformin,,
,glyburide,,
diabetes,glargine,,
diabetes,humalog insulin,,
diabetes,iron,,
anemia,,,
bleeding,iron,,
anemia,iron,,
seizure,,,
diabetic ketoacidosis iron,lamictal,,
anemia leukopenia,folic acid,,
cirrhosis esophageal varices,metformin,,
htn,glyburide,,
abdominal pain nausea and vomiting,,,
choledocholithiasis,creatinine,,
hypoxia tachypnea,,,
pulmonary edema,,,
abdominal bloating,,,
fevers chills,glucose,,
headache,creat na,,
nausea,,,
fever chills,,,
night sweats,,,
headache,,,
sinus tenderness rhinorrhea,,,
congestion,,,
shortness of breath,,,
chest pain,,,
tightness palpitations,,,
diarrhea,,,
constipation,,,
,ethanol,,
,acetmnp,,
,vitamin d hydroxy,,
edema,,,
ascites,,,
pleural effusions the hepatic vasculature,,,
thrombosis,,,
intrahepatic or extrahepatic biliary ductal dilatation,,,
hydronephrosis,,,
renal calculi,,,
congenital aml,,,
patent hepatic vasculature,,,
thrombosis,,,
ascites,,,
pleural effusions nodular liver w,,,
sinus arrhythmia,,,
lateral myocardial infarction,,,
inferior myocardial infarction,,,
left ventricular hypertrophy,,,
left ventricular hypertrophy,,,
interstitial edema,,,
cirrhotic nodular liver,,,
liver lesions,,,
ascites,,,
lymphadenopathy,,,
cirrhotic liver,,,
ascites,,,
ascites,,,
biliary ductal abnormalities,,,
aortic regurgitation,,,
aortic valve stenosis,,,
mitral valve prolapse,,,
mitral regurgitation,,,
lv dysfunction pulmonary hypertension,,,
valvular disease,,,
ascites,,,
hemorrhage,,,
cirrhosis,,,
calculus,,,
calcification,,,
retroperitoneal lymphadenopathy,,,
atelectasis,,,
bone lesion,,,
fracture,,,
ascites,,,
hemorrhage,,,
cirrhosis small,,,
left kidney calculus bibasilar atelectasis,,,
cirrhosis decompensated liver failure,,,
encephalopathy,,,
cholelithiasis,,,
thrombosis,,,
gallbladder ascites,,,
pleural effusion,aldactone lactulose,,
stones or biliary distention,nadalol,,
coagulopathy,,,
liver disease,,,
hemoptyosis,,,
hematuria,,,
bleeding,octreotide,,
variceal bleeds,,,
hypotensive,,,
bleeding,,,
bleeding,,,
pulseless,,,
asystole,,,
cholelithiasis,,,
pain,ursodiol acute,,
hepatic failure,creatinine,,
cholangitis,,,
stones or duct dilation,,,
hypotension,,,
hypoxia,,,
hypoxia,ciprofloxacin,,
trali unlikely infectious,propranolol,,
hypotensive,lactulose,,
low intravascular volume her pressure,,,
hypotensive,,,
hepatitis c,spironolactone,,
cirrhosis gastrointestinal bleed,furosemide,,
rheumatic heart disease,,,
mitral and aortic valvular disease,,,
aortic stenosis,heparin,,
aortic insufficiency,,,
mitral regurgitation,,,
aortic stenosis,,,
mitral regurgitation,,,
fatigue,,,
depressed lvef right ventricle,glucose,,
,creat na,,
,glucose,,
,creat na,,
aorta diameter simple atheroma,,,
pulmonic valve pulmonary artery physiologic normal pr pericardium no pericardial effusion,,,
depressed,,,
atheroma,,,
aortic valve stenosis,,,
valvular mitral stenosis,,,
mitral regurgitation,,,
pericardial effusion,,,
hypertensive,heparin,,
,neosynephrine,,
,propofol,,
,nitroglycerin,,
,tran,,
atrial fibrillation,coumadin,,
,digoxin,,
,lasix,,
,glimepiride,,
,metoprolol,,
mitral stenosis regurgitation aortic stenosis coronary artery disease s p aortic mitral replacements coronary artery bypass graft,aldactone,,
rheumatic heart disease,,,
atrial fibrillation,,,
hypertension,,,
heart failure noninsulin,,,
diabetes mellitus s p,,,
cataract,,,
cirrhosis,,,
back pain,,,
fracture,,,
bleeding,glucose,,
bleeding,creat na,,
infection,,,
cirrhosis,nitrite,,
,glucose,,
ascites,,,
splenomegaly,,,
hypertension,,,
infarct,,,
hematoma,,,
cirrhosis,vitamin k,,
autoimmune hepatitis,,,
bilious,solumedrol,,
thoracic and lumbar compression,sodium,,
fractures,sodium,,
hyperglycemia,steroids,,
lower leg edema,cellcept,,
,steroids,,
,prograf,,
,lasix,,
,furosemide,,
,lactone,,
,alendronate,,
,nadolol,,
,rifampin,,
,ursodiol,,
,calcium carbonate,,
,metoclopramide,,
,lactulose,,
,omeprazole,,
,magnesium oxide,,
,clotrimazole,,
,hydroxyzine,,
,lidocaine,,
,camphor menthol lotion qid,,
,ferrous sulfate,,
,tramadol,,
,ergocalciferol vitamin d,,
nausea,zofran,,
primary billiary cirrhosis vertebral compression,steroids hyponatremia,,
fractures osteoporosis splenomegaly,,,
hyperglycemia,,,
lung adenocarcinoma,,,
fever nausea,erlotinib,,
fatigue,,,
nausea,,,
diaphoresis,,,
pain,,,
pneumonia,,,
cough,,,
,nitrite,,
,glucose,,
,ketone,,
,bilirubin,,
,glucose urea,,
,creat sodium potassium chloride,,
,calcium phosphate magnesium,,
lung adenocarcinoma,erlotinib,,
pneumonia,pcp name,,
fever,oxygen,,
pneumonia,bactrim,,
hypoxic respiratory failure,bactrim,,
,prednisone,,
diarrhea,citalopram,,
diarrea,dexamethasone,,
pain,erlotinib tarceva,,
pain,gabapentin,,
constipation lidocaine,hydromorphone dilaudid,,
,hydromorphone dilaudid,,
,lactulose,,
anxiety morphine,lorazepam,,
constipation ranitidine,polyethylene glycol,,
pneumonia,sodium,,
,senna,,
htn,labetalol,,
preeclampsia,nifedipine,,
chest pain,,,
hypotension,,,
dizziness,,,
hypotensive,,,
overdose,dexamethasone,,
overdose,calcium gluconate,,
cardiac or liver disease,tte,,
hypotensive,dopamine,,
,dopamine,,
pain,heparin,,
nstemi,statin,,
stroke,,,
venous thrombosis,,,
pulmonary embolism bleeding,,,
myalgias cough hemoptysis,,,
chills,,,
rigors,,,
exertional buttock,,,
pain,,,
chest pain dyspnea,,,
exertion paroxysmal nocturnal,,,
dyspnea orthopnea syncope,,,
presyncope,,,
blood lupus,glucose,,
,creat na,,
,glucose,,
,creat na,,
,glucose,,
,creat na,,
,calcium,,
,calcium,,
,calcium,,
,calcium,,
,folate,,
,chol,,
,lactate,,
,lactate,,
,lactate,,
left ventricle stroke,,,
left ventricle cardiac output l min left ventricle cardiac index l min m left ventricle lateral peak e m s m s left ventricle septal peak e m s m s left ventricle ratio e e aorta sinus,,,
valve aortic valve leaflets normal avr leaflets no,,,
pericardial effusion,,,
tachycardia,,,
atrial septal defect,,,
aortic valve leaflets,,,
aortic valve stenosis,,,
aortic regurgitation,,,
mitral regurgitation,,,
mitral valve prolapse,,,
valvular disease,,,
sinus tachycardia,,,
sinus tachycardia,,,
pleural effusion,,,
pneumothorax,,,
atrial enlargement borderline cardiac silhouette size,,,
pulmonary embolus,,,
pseudoaneurysm,,,
hematoma,,,
pericardial effusion,,,
fatty hila normal appearing left axillary lymph nodes are also present in anterior mediastinum,,,
atelectasis,,,
pleural effusion,,,
pulmonary edema,,,
pseudoaneurysm,,,
edema,,,
gallbladder wall edema,,,
gallbladder outlet obstruction or soft tissue infiltration,,,
mesenteric edema,,,
lymphadenopathy,eter,,
fracture,,,
pulmonary embolus,,,
acute aortic abnormality,,,
edema,,,
edema,,,
pancreatitis,,,
perihepatic lymphadenopathy,,,
lymphoma,,,
pulmonary edema,,,
ancing hepatic lesion,,,
pulmonary embolus,,,
pseudoaneurysm,,,
hematoma,,,
fatty hila normal appearing left axillary lymph nodes are also present in anterior mediastinum,,,
atelectasis,,,
pleural effusion,,,
pulmonary edema,,,
pseudoaneurysm,,,
edema,,,
gallbladder wall edema,,,
gallbladder outlet obstruction or soft tissue infiltration,,,
hydronephrosis stones,,,
mesenteric edema,,,
lymphadenopathy,,,
fracture,,,
pulmonary embolus,,,
acute aortic abnormality,,,
edema,,,
edema,,,
pancreatitis,,,
perihepatic lymphadenopathy,,,
lymphoma,perih,,
pulmonary edema,,,
pleural effusion,,,
hepatic biliary ductal dilatation,,,
gallbladder wall edema,,,
gallstones,,,
pleural effusion,,,
gallbladder wall edema,,,
acute cholecystitis,,,
liver or heart disease,,,
edema,,,
ascites,,,
pleural effusions,,,
hypertension,,,
premature coronary artery disease,,,
chest pain,,,
pulmonary embolism,,,
hypertension,,,
coronary disease,,,
stenosis,,,
stenosis,,,
,lidocaine,,
,midazolam,,
,fentanyl,,
,clopidogrel,,
,lidocaine,,
hypertension,dopamine,,
chest pain,,,
hypotension,,,
overdose,,,
htn,labetalol,,
nstemi,,,
chest pain,,,
hypercoagulability,,,
hypotension,dopamine,,
hypotension,,,
viral illness,,,
dehydration,,,
overdose,,,
cardiac abnormalities,,,
arrhythmias anion,,,
acidosis,,,
infection bleeding,lactate,,
asthma,iron,,
anemia,folate,,
hypotension,labetalol,,
preeclampsia chest pain,nifedipine,,
,albuterol,,
dyspnea hoarseness,,,
cough,,,
carcinoma suspected small cell on initial evaluation patient was found to have mm opening of distal trachea secondary to external compression,,,
effusion,,,
bleeding,,,
hypoxia,,,
pericardial effusion,na,,
tamponade,na,,
pericardiocentesis,,,
hyponatremia,,,
hypotension,,,
hyperkalemia hyponatremia,,,
hypotension,steroids,,
metabolic acidosis,,,
hypothermia,,,
primary lung carcinoma right upper lobe collapse,glucose,,
,creat na,,
tumor,chromogranin,,
atelectasis,synaptophysin,,
pleural effusion tracheal mass,,,
tumor,,,
tumor,,,
necrosis,,,
tumor,,,
carcinoma,,,
tumor,,,
tumor,,,
fits,,,
carcinoma of lung pleural fluid,,,
sinus tachycardia,,,
ventricular hypertrophy,,,
aortic regurgitation,,,
mitral regurgitation,,,
anterior pericardial effusion,,,
ventricular hypertrophy,,,
brachiocephalic vein occlusion,,,
pleural effusion,,,
edema,,,
pericardial effusion,,,
tamponade,,,
edema,,,
aneurysm,,,
encephalomalacic,,,
acute hemorrhage,,,
infarct,,,
hygromas,,,
aneurysm,,,
acute hemorrhage,,,
infarct,,,
medical renal disease,,,
hydronephrosis stone,,,
tumor,,,
pneumothorax,,,
tumor,,,
tumor,,,
peripheral tumor,,,
cavitary lesion,,,
carcinomatosis,,,
pleural effusion,,,
pleural effusion left adrenal gland mass,,,
encephalopathy,,,
metabolic disturbances,,,
infection,,,
epileptiform abnormalities,,,
seizures,,,
necrotic,,,
hyponatremia,na,,
hypotension,na,,
hyperkalemia hyponatremia,steroids,,
hypotension,,,
metabolic acidosis,,,
hypothermia,,,
hypertension,,,
upper extremities wasting of lower extremities skin mottled,swelling right anterior chain palpable,,
telangiectasias,,,
edema,,,
hypoactive bowel sounds soft non distended gu foley ext right dp left dp,glucose,,
upper extremity nonpitting edema,creat na,,
primary lung carcinoma right upper lobe collapse,,,
tumor,,,
atelectasis,,,
pleural effusion,chromogranin,,
tumor,synaptophysin,,
tumor,,,
necrosis,,,
tumor,,,
carcinoma,,,
tumor,,,
tumor,,,
fits,,,
carcinoma of lung pleural fluid cy,,,
sinus tachycardia,,,
left ventricular hypertrophy,,,
aortic regurgitation,,,
mitral regurgitation,,,
primarily anterior pericardial effusion,,,
anterior pericardial effusion,,,
ventricular hypertrophy,,,
brachiocephalic vein occlusion,,,
pleural effusion,,,
edema,,,
pericardial effusion,,,
tamponade,,,
edema,,,
aneurysm,,,
encephalomalacic,,,
acute hemorrhage,,,
infarct,,,
hygromas,,,
aneurysm,,,
acute hemorrhage,,,
infarct,,,
medical renal disease,,,
hydronephrosis stone,,,
tumor,,,
pneumothorax,,,
tumor,,,
tumor,,,
peripheral tumor,,,
cavitary lesion,,,
carcinomatosis,,,
pleural effusion,,,
pleural effusion left adrenal gland mass,,,
encephalopathy,,,
metabolic disturbances,,,
infection,,,
epileptiform abnormalities,,,
seizures,,,
necrotic,,,
carcinoma,,,
airway comprom,,,
pericardial effusion,ise,,
pleural effusion,,,
pneumothorax,,,
respiratory failure,,,
renal failure hypoxic respiratory failure,,,
cpap,,,
respiratory failure,,,
hypoxia,smoking,,
pneumothorax,vancomycin cefepime,,
pleural effusions atelectasis,ciprofloxacin,,
tumor,,,
copd,,,
renal failure,vanco,,
respiratory failure,,,
asystole,,,
lung cancer,,,
decline in mental status over,,,
uremia,,,
multi system organ failure,,,
seizure,,,
cerebral aneurysm,,,
infection,,,
malignancy,,,
tumor,,,
fits,,,
carcinoma of lung given,,,
necrotic,carboplatin,,
acute renal failure,uric acid,,
tumor,,,
oliguric,,,
lung cancer metabolic acidosis,,,
metabolic acidosis,,,
hypoaldosteronism,,,
metabolic acidosis,,,
uremia,,,
acidosis,bicarbonate,,
acidosis,,,
tachycardia hypotension,,,
tachycardia,,,
hypotension,,,
pericardial effusion tamponade,,,
renal failure,,,
malignancy,,,
renal failure,,,
tumor necrosis hemorrhage,,,
hypernatremia,,,
dehydration,,,
hyponatremia,,,
hyperkalemia,,,
hyponatremia,,,
adrenal insufficency,,,
hyperkalemia,,,
hypoaldosteronism,,,
occlusion,sodium,,
occlusion of brachiocephalic veins,,,
swelling,,,
edema,,,
jugular venous distension,,,
swelling,,,
edema,,,
tumor,,,
pleural effusion s p right pigtail catheter placement removed ldh effusion,,,
malignant effusion,,,
pneumothorax,,,
pneumothorax,,,
pericardial effusion,,,
malignant effusion,,,
hypotension,metoprolol,,
pericardial effusion sinus pause,glucagon,,
toxicity,,,
leukopenia thrombocytopenia,neupogen,,
anemia,,,
anemia,,,
chronic disease,,,
hemolysis,,,
cerebral aneurysm,,,
cerebral aneurysm,,,
,metoprolol omeprazole levetiracetam,,
,furosemide,,
,carbamazepine,,
,carbamazepine,,
,potassium phosphate,,
,propofol,,
,gluconate,,
,hydrocortisone,,
,succ,,
,nicotine,,
,levetiracetam,,
,magnesium sulfate,,
,calcium gluconate,,
,potassium chloride,,
,albuterol ipratropium,,
,pantoprazole,,
,heparin,,
,fentanyl citrate,,
,2536,,
asthma anxiety,"34590, 3051 162, 518, 584",,
brbpr with blood on toilet paper changed diet,,,
vomiting,,,
swelling,,,
psychiatric,,,
seizure,,,
hyponatremic,ativan,,
confusion,ceftriaxone,,
meninigitis,azithromycin,,
infection,,,
fever,ethanol,,
viral infection,cortisol,,
,osmolal,,
,caltibc,,
,iron,,
,creat sodium potassium,,
,glucose lactate,,
,nitrite,,
,glucose,,
,bilirubin,,
,cocaine,,
,osmolal,,
,urea,,
,creat sodium potassium chloride,,
,na,,
,osmolal,,
,urea,,
,creat sodium,,
,osmolal,,
,glucose urea,,
,sodium potassium chloride,,
,osmolal,,
,calcium phosphate magnesium,,
,osmolal,,
,creat sodium chloride,,
,osmolal,,
,creat sodium chloride,,
,sodium,,
,calcium,,
intracranial hemorrhage,,,
hydrocephalus,,,
infarction,,,
intracranial hemorrhage,,,
bronchitis,,,
pleural effusion,,,
levoscoliosis,,,
asthma,,,
anxiety,,,
hyponatremia,,,
hyponatremia,,,
hyponatremic,,,
hypotensive,ceftriaxone vancomycin,,
,acyclovir,,
,ativan,,
ill,na,,
vomiting,na,,
adrenocortical insufficiency,sodium,,
,cortisol,,
nausea and,,,
headache,,,
anemia,,,
bleeding,,,
hyponatremic,albuterol,,
asthma,,,
ponatremia,,,
asthma anxiety,,,
aortic valve disease s p avr small ericardial,,,
tamponade,,,
thrombus,,,
atheroma,,,
atheroma,,,
aortic valve prosthesis,,,
pulmonic valve pulmonary artery normal pulmonic valve leaflets pericardium small,benzocaine,,
pericardial effusion,,,
tamponade,,,
thrombus,lidocaine,,
atrial septal defect,glycopyrrolate,,
,antisialogogue,,
atheroma,,,
atheroma,,,
aortic valve prosthesis,,,
mitral regurgitation,,,
pericardial effusion,,,
tamponade,,,
dyspnea tachypnea diarrhea,,,
infectious disease,vancomycin,,
acute renal failure s p avr,metformin,,
iddm obdsity chol,oxybutynin,,
,qhs lactinex,,
,lasix,,
,digoxin,,
astname,rocephin solumedrol,,
somnolent,lasix ativan,,
dyspnea,nitro gtt,,
pedal edema,,,
whiteout,,,
,lasix,,
edema pneumonia,,,
left ventricular enlargement,,,
aortic valve stenosis,,,
ventricular hypertrophy,,,
regional systolic dysfunction,,,
pulmonary artery systolic hypertension,,,
thrombus,,,
hypoperfusion,,,
hydronephrosis tte,,,
depressed,,,
lv diastolic dysfunction right ventricular chamber size and free wall motion,,,
aortic stenosis trace aortic regurgitation,,,
mitral regurgitation,,,
pulmonary artery systolic hypertension,,,
ulmonic regurgitation,,,
pulmonic regurgitation,,,
pulmonary artery diastolic,,,
hypertension,,,
pericardial effusion,,,
tamponade,,,
intracranial hemorrhage,,,
opacification,,,
respiratory failure,,,
respiratory failure,,,
pneumonia,,,
bacterial pneumonia,,,
nephrotoxicity,bactrim,,
,levaquin,,
,vancomycin,,
oliguric,vancomycin,,
chronic renal failure,lasix,,
pneumonia,lasix,,
piratory,,,
heart failure,,,
heart failure,,,
respiratory failure,,,
pulmonary edema,nitroglycerin,,
,hydralazine,,
,uptitrated,,
atrial fibrillation,plavix statin,,
,amiodarone,,
,coumadin,,
htn,coumadin,,
renal failure,coumadin,,
anemia,amiodarone,,
stress ulcer,,,
trauma iron,,,
